"REG_ID","Regions","IND","Indicator","MEAS","Measure","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NO07","Northern Norway","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,90,,
"TR41","Eastern Marmara - South ","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,14.5,,
"US24","Maryland","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,65.1,,
"CZ01","Prague","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,64.1,,
"PL63","Pomerania","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,78.8,,
"TRB2","Eastern Anatolia - East","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,18.6,,
"AT31","Upper Austria","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,13.7,,
"AU4","South Australia","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,82.2,,
"US06","California","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,6.2,,
"CL01","Tarapacá","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,11.8,,
"ME25","Sinaloa","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,38.1,,
"US31","Nebraska","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,8.6,,
"KR06","Gangwon Region","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,21.7,,
"FI1C","Southern Finland","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,88,,
"DK05","Northern Jutland","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,80,,
"ITH4","Friuli-Venezia Giulia","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,20.5,,
"ISR","Israel","AIR_POL","Air pollution, level of PM2.5","VALUE","Value","2014","2014","MICRO_M3","Micrograms per cubic metre","0","Units",,,20.4,,
"CL13","Santiago Metropolitan","BB_ACC","Share of households with internet broadband access","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,50,,
"CA47","Saskatchewan","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,72.1,,
"TR61","Mediterranean region - West","LIFE_EXP","Life expectancy at birth","VALUE","Value","2014","2014","YR","Years","0","Units",,,76,,
"AU8","Australian Capital Territory (ACT)","VOTERS_SH","Voter turnout in general election","VALUE","Value","2014","2014","PC","Percentage","0","Units",,,94.9,,
